,missing_mfi,missing_3dp,SN,ne,Te,np,Tp,nalpha,Talpha,B0,db,db_a,dboB0,V0,v_r,dv,va,ma,p,rhoe,rhop,de,dp,betae,betap,vte,vtp,ld,zp,zm,zp_decay,zm_decay,sigma_c,sigma_r,ra,cos_a,qi,qk,fb,tb,tcf,lambda_c_fit,tce,lambda_c_e,tci,lambda_c_int,ttu,ttu_std,ttc,ttc_std,lambda_t_raw,lambda_t,Re_lt,Re_di,Re_tb,Vomni,pomni,Bomni,ms,mst,mat
missing_mfi,1.0,0.0609573734917582,0.2741823420521385,0.05359535649427609,0.03550402912443823,0.03479449851019478,-0.021525260194262374,0.1125958769802562,-0.074225813087138,0.07602867267171644,0.05120955897859505,0.030702306435451205,-0.04081997309690281,-0.04628948527386074,-0.04702839132570264,0.022973894602844096,0.0075941388983188475,-0.061168603381295976,0.024691118891473744,-0.06617753477043582,-0.06789863346277142,-0.06343579257796074,-0.0634357928802721,-0.02409759446875943,-0.024448845202665315,0.034962643857657766,-0.02019899573181726,-0.05129547436797019,0.025116709850936128,0.028386009457992703,-0.0011062210699738753,-0.0072604720193657,-0.013237910982371863,0.024530170998394475,0.0007245782320287773,-0.012456630051477038,0.012119718864669985,-0.01923690333026672,-0.001287736674400658,0.01125427362742601,0.008199177663715777,0.011793760014200464,0.00323293182610647,0.008236498403478277,0.010390540494992922,0.007078923354029576,0.021898543397435095,-0.025755668061039533,0.060996092189896454,-0.020867128639226375,0.024034277668161276,0.025616702986483476,-0.002061520113927849,0.03982001937720565,0.014779576369509538,-0.027923401813243855,-0.004475612713412982,0.08345827883483338,-0.014537387144885503,0.06528467036706422,0.01886571437260048
missing_3dp,0.0609573734917582,1.0,-0.14445339417479805,-0.050723076652753614,-0.045005533871567534,0.00403037607128367,-0.0243133627797265,0.045721366908744177,-0.03712940144775974,-0.06476101958775353,-0.05413876852279418,0.020567318174229507,0.016297948369388644,-0.06118077328361614,-0.06147286428952338,0.0057517813417780886,-0.024929711087562974,-0.11758748081285066,-0.025500422800346333,0.05804729262651633,-0.0902568106877087,0.0409514093193825,0.0409514087063065,0.007057447555012808,-0.0802474629494113,-0.04718267037753404,-0.019178296560168836,0.02863751984440548,0.00428297052146277,0.025637815678395244,-0.002351373214214455,-0.002178871996585511,-0.017974504450390682,-0.004229165507787308,-0.009149143988539324,-0.013930207249614142,-0.0651007337405585,0.08618596007460184,-0.06078320706890893,0.019241049429595602,0.035098306295572985,0.021677314535122737,0.03323972678590087,0.020743873163069786,0.036824430105784484,0.015549281275405074,0.08342073176255752,0.06851053784911298,0.012126397401363379,0.043928710706089315,-0.011004816468485426,0.02033467882817383,0.011956442537920841,0.019905454177648205,-0.013388942922872673,-0.08938865925344917,-0.07272300576641244,-0.06696286304533498,-0.0342227238705525,0.03658011843185903,-0.024908418507408606
SN,0.2741823420521385,-0.14445339417479805,1.0,0.037418944419699764,0.02592600731406733,0.009020799676282576,0.014410063426674793,0.13326614484732283,-0.033453291509947795,0.13411904590318846,0.09787596287555969,0.06155701042556755,-0.0588047171240994,-0.030315752749211885,-0.03210896322272523,0.07178077021090072,0.06618439555434381,-0.11526705447065942,0.03199247632146173,-0.15667357423796358,-0.1015393049869396,-0.09156593845253072,-0.09156594144302335,-0.09262290597462244,-0.05326103456941836,0.02410823592176259,0.01808904082986836,-0.08111505105041546,0.04626662816440711,0.06246710669993317,-0.009791887401278449,-0.006891939592903676,-0.014106026498772769,0.027648402933534957,0.0034177374456679467,-0.009965626963022075,0.07661517896705658,-0.07301906880085748,0.013657076699810746,0.0010126674977029113,0.011022602298126622,0.03161186172789191,0.011897247160847068,0.032896830882850336,0.00893595624009252,0.02771106266425527,-0.01629162214841413,-0.0870576874877292,0.06756033219850222,-0.07446036926843835,-0.004221103287082836,0.03622209180077444,0.002731434610072602,0.04829942518634793,0.036383369947625956,-0.005724161738717746,-0.03675947918851253,0.13514709728027008,-0.054244703262511365,0.10190233272741157,0.03033163301922693
ne,0.05359535649427609,-0.050723076652753614,0.037418944419699764,1.0,-0.05754632262734134,0.9001343255963473,-0.10992090657926572,0.5516573235320507,-0.23750107018342398,0.5164185084991326,0.6062004448683855,0.028465586256049228,0.19678411364395937,-0.37244365467216645,-0.3782878416411978,0.12285790129858733,-0.25873788445191453,0.14185684621296704,0.7558386492328807,-0.48687511071200235,-0.5716253353848156,-0.7486704894084184,-0.7486704887214369,0.3078821406296294,0.18826130592537763,-0.06946260236248873,-0.14422033866626688,-0.6658606172382358,0.07335323383068874,0.09194927988586304,0.018371438411765802,0.026880486945123006,-0.018047457964986663,0.09504433892477135,0.060787089815253215,-0.017692554070699532,-0.10572162354149464,0.07442982967823181,0.4209641489842141,-0.051847882697082216,0.1410084192377838,0.024438221907996622,0.1401156241813585,0.02880848070551046,0.1330029665985439,-0.01741776470143136,0.1469352990184959,0.38165011330982335,0.15996548573851102,0.47884600825583606,-0.14685549016321117,-0.1830936348247928,0.022827981856450474,0.4951989309761304,0.29123935464960576,-0.374065905425232,0.7336955636110277,0.46935897223664413,-0.0836128074089207,0.2753352098998456,0.3847158303845076
Te,0.03550402912443823,-0.045005533871567534,0.02592600731406733,-0.05754632262734134,1.0,-0.19238606748609308,0.3942435884447997,0.1186422478422558,0.38196459501418784,0.2634431905223688,0.19640490714656633,0.23270865245888,-0.132967154935851,0.291239853230953,0.282795447121203,0.41612181260414016,0.3577202841612169,-0.24783613774434052,0.17165020671991235,0.06225369717963338,0.11836965463522844,0.14789910855839342,0.14789910794951902,-0.10699539242199983,0.05139485686938449,0.9890047828954295,0.423479058636423,0.399586970189833,0.2509963604552969,0.28246411206841743,0.14324663598773596,0.15135961446540627,-0.0427905146633626,0.21781781796097743,0.10611554514009225,-0.044248128274061924,0.12371974214635376,-0.18267325504547235,-0.01097850893910551,-0.00543393172335886,-0.17514136225190735,-0.03508689011509956,-0.1732753521961999,-0.03866855313726308,-0.16860735254081252,0.0003373951801202687,-0.21978979711499624,-0.31734434203487333,-0.056142945915677284,-0.2797606610290781,0.03760716395248278,0.17999930976272133,-0.05437010851949418,-0.07871150058888444,-0.10285022597371456,0.30200702059163786,0.013399569700374477,0.26915343354002413,-0.41518518118334385,0.18668901661882426,0.19219548804138756
np,0.03479449851019478,0.00403037607128367,0.009020799676282576,0.9001343255963473,-0.19238606748609308,1.0,-0.20943121871369777,0.5414589547682442,-0.2848567678771609,0.4472552977962526,0.5357237835800223,-0.14361505922063078,0.20480406520727357,-0.39488171796744165,-0.3989034413844349,0.03316700469853451,-0.25129134170920725,0.11593187879652965,0.6450237342315588,-0.473645439328148,-0.6059750315042757,-0.7002968718966597,-0.7002968708103765,0.2564755213493204,0.03569244391839425,-0.21478232321707463,-0.2486026941814226,-0.6693797275214061,-0.07392008783170514,-0.05886704194722766,-0.07762669217054406,-0.08193109670068291,-0.012717318960852972,0.12965108873633938,0.06354584947157034,-0.013270083344776794,-0.10232104188852297,0.11122611298319195,0.40926334096882294,-0.04559196890911935,0.18806863946622618,0.052119122552711505,0.1860706633137563,0.05583931097024898,0.1797164528742238,0.006917355183452851,0.18362053445610446,0.4229190313721132,0.1680933883776806,0.5103293422493657,-0.13726816898412547,-0.19097398571190252,0.045812007417552765,0.47055274368758754,0.3207364346966576,-0.4090022078595557,0.6902752919529517,0.4068310663814805,0.0619779821175457,0.2466990271349625,0.2754160295532436
Tp,-0.021525260194262374,-0.0243133627797265,0.014410063426674793,-0.10992090657926572,0.3942435884447997,-0.20943121871369777,1.0,0.1104847908030208,0.8745495598467814,0.3362507257084963,0.37780044544723956,0.5972551741146591,0.09445656533264124,0.756966750616064,0.7487105173980075,0.7051483813502262,0.425394474165076,-0.16828014214424686,0.37255319583077606,-0.2379095860921181,0.47545995346164116,0.18125883294755818,0.18125883410180432,-0.3913822939631938,0.37810811462511834,0.39313094242201796,0.9676476628752607,0.2486980297256326,0.5986123946926387,0.578817267869335,0.332933317211024,0.3509054719092937,0.012779648557288902,0.29539663610344363,0.13264477814397205,0.012944049886842942,0.3440140577065404,-0.5364068097635142,0.37173218281164644,-0.0672146495587811,-0.3437105332777161,-0.11273703446433865,-0.338566837961568,-0.11658434439200563,-0.3353323329908762,-0.030052454924581713,-0.526200592496969,-0.37468735050214913,-0.16578676034062817,-0.23605800729256482,-0.04040998927639739,0.4196260666980236,-0.1429021142171914,-0.11409679707063203,-0.06732343655666329,0.7431396014881395,0.3052368999950323,0.34694113583157643,-0.6861324956555968,0.16622144605562775,0.388343954479568
nalpha,0.1125958769802562,0.045721366908744177,0.13326614484732283,0.5516573235320507,0.1186422478422558,0.5414589547682442,0.1104847908030208,1.0,-0.04968774183073959,0.541449235862799,0.5751175516868091,0.1440805755916684,0.11523354555514914,-0.022853682279252427,-0.0322952150063103,0.29080580151664454,0.05631130695214139,-0.08384604037237808,0.6159321738874562,-0.43294019573050474,-0.3436028196560483,-0.4179684317983923,-0.4179684323703986,-0.04569646241933445,0.0812857224531702,0.08947538377712393,0.11274431863112845,-0.3562914847558957,0.18693919408749474,0.20428946738414563,0.1008767453382989,0.11077552238660042,-0.021997744357420045,0.1348478019974427,0.1401803903232201,-0.021981366282164256,0.09485076196202877,-0.1025610993721447,0.4109674604729432,-0.046976286962553744,0.04613116932605548,0.050587784496102364,0.04513846524273028,0.0499575612087753,0.03726240963570135,0.03914883840705557,-0.08482053607663768,0.10837718451435945,0.037106765771291086,0.20986226322730453,-0.11654384848465482,-0.008010912743620296,0.03614186360380056,0.33464177590837485,0.2721397829657638,0.01137396500345128,0.6186798148024711,0.5280409670721729,-0.19305606792789834,0.2793802895707557,0.3015075140260268
Talpha,-0.074225813087138,-0.03712940144775974,-0.033453291509947795,-0.23750107018342398,0.38196459501418784,-0.2848567678771609,0.8745495598467814,-0.04968774183073959,1.0,0.24332357316592496,0.2647528719312854,0.443855053770994,0.0414749859367655,0.7747722530444585,0.76800191446811,0.6523037848451531,0.467030866077898,-0.20898741206721322,0.23499257792396666,-0.15210543553439004,0.4791992106699561,0.32458833711665136,0.324588336243214,-0.41821750931777385,0.22915839378441258,0.38736585309976557,0.880928939186918,0.37676919029194095,0.4706989401475661,0.441367546413317,0.22058348644317338,0.2503339935674004,0.03028951445135002,0.3607582227056922,0.18934893008141773,0.029287775257090875,0.3632878172353115,-0.5152018745831356,0.29078205465939605,-0.059059996665745434,-0.3382699609653196,-0.10778214015847067,-0.33317692910191493,-0.11182532024256171,-0.32744923201106985,-0.02243698923662924,-0.5339747029195724,-0.409438568576988,-0.20942984423192498,-0.300077441936884,-0.038682768353775744,0.40624929534596915,-0.131722376824326,-0.18217114572214083,-0.11031669438171908,0.7649754224100033,0.18442888674349578,0.256736962631864,-0.5906171067105975,0.17477884290555049,0.31795013527872107
B0,0.07602867267171644,-0.06476101958775353,0.13411904590318846,0.5164185084991326,0.2634431905223688,0.4472552977962526,0.3362507257084963,0.541449235862799,0.24332357316592496,1.0,0.857313905693487,0.45745555146413364,-0.12246050857961963,0.1350096040417002,0.12519780601342836,0.5525296926619748,0.5475221583819578,-0.550475012629537,0.6921066192256687,-0.8048285239168083,-0.5117564479408352,-0.38888129612547706,-0.3888812968260507,-0.39647371891109234,-0.15993179636163418,0.2503014652008224,0.34327582294455034,-0.28074067609208064,0.45588035589663317,0.4849924135797356,0.1308223145046981,0.15232110032613239,-0.024163317253640713,0.19715638692501927,0.08698353918495857,-0.024100324880583425,0.32946480544270923,-0.2859843889564563,0.6755574089485091,-0.09719018234485664,0.13322319203154792,0.23505690832640597,0.12852205244486467,0.22805122915695808,0.1220963455589849,0.23128816020906573,-0.22295329955799617,0.04420850682513383,0.053929730185152305,0.21479359194050776,-0.13007229611171217,0.11211973951060672,0.11009805674940432,0.4782451102966065,0.5119551783196905,0.12729356681272183,0.645586696685484,0.9864792721491465,-0.3766395889625079,0.4990354873243293,0.2523009571693826
db,0.05120955897859505,-0.05413876852279418,0.09787596287555969,0.6062004448683855,0.19640490714656633,0.5357237835800223,0.37780044544723956,0.5751175516868091,0.2647528719312854,0.857313905693487,1.0,0.519707403641088,0.35175434479540113,0.1608385057431883,0.1505075886037149,0.5930903530253913,0.310369227054297,-0.3176582726832989,0.7859670163437161,-0.6937610133241692,-0.3786474992865281,-0.4424873853436101,-0.4424873857408032,-0.2688484086033622,0.03541432183789966,0.18279717097656506,0.3889158866872802,-0.35038137233675604,0.5144005532658819,0.5350860113478174,0.14793098813947292,0.16994335008488518,-0.018779840969577032,0.12704690928575268,0.06370660509104843,-0.01913470206712528,0.2123387596356717,-0.2826306960163875,0.6818714389401236,-0.10298604154673864,0.13981222849104855,0.2365088241924176,0.13738432003493845,0.23240974337063736,0.12285884790078336,0.228866530578721,-0.07646915744182198,0.12624758874725545,0.24052362026474436,0.33274670983987853,0.059892990784418246,0.28812129242055795,0.014842196780570551,0.5264591467867074,0.47598565768559764,0.14786894314270768,0.7542844464448608,0.8235161087318654,-0.43842724783666553,0.5042016808507553,0.4360455036902866
